,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9,0,1,2,3,4,5,6,7,8,9
0,18.0,3.0,2.0,10.0,0.0,2.0,1.0,0.0,0.0,0.0,15.0,4.0,3.0,9.0,0.0,3.0,0.0,0.0,0.0,1.0,202.0,23.0,9.0,72.0,1.0,6.0,7.0,0.0,0.0,0.0
1,1.0,44.0,3.0,15.0,3.0,6.0,1.0,0.0,1.0,0.0,1.0,37.0,4.0,16.0,0.0,6.0,2.0,0.0,0.0,0.0,22.0,396.0,32.0,114.0,7.0,29.0,3.0,0.0,0.0,1.0
2,1.0,2.0,39.0,12.0,4.0,2.0,3.0,0.0,0.0,0.0,2.0,5.0,51.0,9.0,3.0,8.0,0.0,1.0,0.0,0.0,15.0,43.0,389.0,96.0,20.0,54.0,4.0,9.0,1.0,2.0
3,3.0,9.0,11.0,50.0,3.0,0.0,3.0,2.0,0.0,0.0,5.0,10.0,6.0,48.0,6.0,5.0,0.0,2.0,0.0,0.0,30.0,75.0,55.0,540.0,17.0,26.0,3.0,3.0,1.0,0.0
4,0.0,0.0,3.0,12.0,11.0,0.0,3.0,1.0,2.0,0.0,1.0,1.0,2.0,7.0,9.0,1.0,1.0,1.0,2.0,0.0,2.0,8.0,26.0,44.0,105.0,0.0,6.0,5.0,6.0,1.0
5,1.0,4.0,11.0,4.0,1.0,21.0,0.0,1.0,0.0,0.0,1.0,6.0,7.0,1.0,0.0,25.0,0.0,0.0,0.0,0.0,5.0,29.0,45.0,14.0,1.0,215.0,3.0,2.0,1.0,0.0
6,0.0,0.0,0.0,0.0,2.0,1.0,31.0,4.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,1.0,1.0,4.0,1.0,0.0,3.0,1.0,2.0,1.0,302.0,21.0,9.0,28.0
7,0.0,0.0,0.0,0.0,0.0,0.0,7.0,18.0,3.0,2.0,0.0,0.0,0.0,1.0,0.0,1.0,6.0,28.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,33.0,208.0,8.0,3.0
8,0.0,0.0,1.0,0.0,1.0,1.0,6.0,0.0,23.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0,6.0,2.0,19.0,12.0,0.0,0.0,1.0,0.0,0.0,0.0,37.0,10.0,219.0,88.0
9,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,6.0,55.0,0.0,0.0,0.0,0.0,1.0,0.0,4.0,0.0,5.0,56.0,0.0,0.0,0.0,0.0,1.0,1.0,17.0,2.0,19.0,511.0
