,,precision,recall,F1
test,Criteria i,0.4444444444444444,0.8421052631578947,0.5818181818181818
test,Criteria ii,0.5945945945945946,0.5789473684210527,0.5866666666666667
test,Criteria iii,0.6031746031746031,0.4634146341463415,0.5241379310344827
test,Criteria iv,0.6296296296296297,0.45535714285714285,0.5284974093264247
test,Criteria v,0.21875,0.5,0.30434782608695654
test,Criteria vi,0.4418604651162791,0.7916666666666666,0.5671641791044777
test,Criteria vii,0.7857142857142857,0.717391304347826,0.75
test,Criteria viii,0.5333333333333333,0.7619047619047619,0.6274509803921569
test,Criteria ix,0.5957446808510638,0.6829268292682927,0.6363636363636364
test,Criteria x,0.859375,0.7142857142857143,0.7801418439716311
val,Criteria i,0.3142857142857143,0.7333333333333333,0.44
val,Criteria ii,0.7727272727272727,0.6071428571428571,0.68
val,Criteria iii,0.7215189873417721,0.6129032258064516,0.6627906976744186
val,Criteria iv,0.6707317073170732,0.5670103092783505,0.6145251396648045
val,Criteria v,0.36,0.75,0.48648648648648657
val,Criteria vi,0.45,0.72,0.5538461538461539
val,Criteria vii,0.8717948717948718,0.6666666666666666,0.7555555555555555
val,Criteria viii,0.55,0.9166666666666666,0.6874999999999999
val,Criteria ix,0.55,0.6111111111111112,0.5789473684210527
val,Criteria x,0.9090909090909091,0.8,0.8510638297872342
train,Criteria i,0.9242424242424242,0.993485342019544,0.9576138147566718
train,Criteria ii,0.964968152866242,0.9680511182108626,0.9665071770334929
train,Criteria iii,0.9798449612403101,0.9532428355957768,0.9663608562691133
train,Criteria iv,0.9896103896103896,0.9191797346200241,0.9530956848030018
train,Criteria v,0.7922705314009661,1.0,0.8840970350404312
train,Criteria vi,0.9659442724458205,0.9936305732484076,0.979591836734694
train,Criteria vii,0.9712041884816754,0.9840848806366048,0.9776021080368907
train,Criteria viii,0.9807692307692307,0.99609375,0.9883720930232558
train,Criteria ix,0.94579945799458,0.9803370786516854,0.9627586206896553
train,Criteria x,0.9946996466431095,0.9574829931972789,0.9757365684575391
