,Criteria i,Criteria ii,Criteria iii,Criteria iv,Criteria v,Criteria vi,Criteria vii,Criteria viii,Criteria ix,Criteria x,Others
0,builders,at uxmal,area all,and characteristics,abroad,display of,and patronage,in,arabia and,biblical,jaguars of
1,building and,beki,area an,abraham,be protected,european baroque,of threatened,succession,cross,affected,who
2,bab,at turaif,forested mountains,conditions in,abraham darby,displacement and,meeting place,artistic works,australian tectonic,largest concentration,kindibo
3,buffer against,and society,harmonious interaction,giving rise,coal mining,atoll,is notable,society of,in an,affected by,some are
4,connections with,and st,accentuated,above the,gandharan,displacement,habitat,and historical,arc,considered as,initial
5,baalbek,admirably,accompanied,marae ahu,successive cultures,display,and pelagic,century by,history as,all reflected,known from
6,continuous use,nasrid,is typical,cool temperate,listed,and diffusion,and particularly,improving,the greatest,halls,terraced
7,to sustain,at various,civilization in,active,medieval church,and design,and ideas,mogao,monte san,history that,san
8,buddhist art,application,appreciation of,gjirokastra,gandharan school,and decoration,and many,but are,appropriate,conservation significance,year period
9,nabataean,appears to,shoreline,and chinese,abbey is,below sea,st george,of alpine,outstanding manner,and mostly,the hidden
10,building corals,exposed and,its architectural,private buildings,such,european capitals,both of,of all,australian,and most,known for
11,temperate forest,and speciation,of lao,rococo,out as,particular had,and ottoman,most,fauna with,associated fauna,the orkhon
12,and was,and squares,alexander,of ten,winds,and density,old rauma,mammals include,foreign,proof of,of mangroves
13,buddhist monastic,and social,human impacts,ensembles illustrating,its monumental,in tropical,ferrous,mer,migration and,aesthetic qualities,the giant
14,jesuit missions,grove,anatolian,site the,the one,ambohimanga is,contributions of,respect,democratic republic,aphrodisias,this species
15,foot,ad num,education,across wide,in syracuse,and developed,resting on,medieval and,lowland gorilla,its wall,biosphere
16,indonesia and,commemorative,components of,power of,scope,also has,rome the,into new,defence structures,bears significant,correspond to
17,designs,feed,of planned,act,its military,workshop of,primary,classic,contain some,cape,today in
18,assumption monastery,and stable,of sana,ensembles of,ganges,discoveries,fusion,and metal,di noto,apex of,bell tower
19,has represented,caliphate,organized,above sea,and technical,relatively,ongoing biological,reconquest,series of,as exemplified,temporary
20,early examples,groups in,of laosicheng,emigration,factor in,brought to,and institutions,humankind,well adapted,conservation value,some areas
21,connections,at susa,its considerable,hagia,ungulates,and uninterrupted,rivers in,royal park,crocodile and,ensemble in,were also
22,has remarkable,and spatial,asia for,and changes,its minaret,falls,cycling,wind,kenya lake,earth history,shallow lagoons
23,of ecosystem,crucial for,its artistic,are num,entrance to,montane forest,also occur,the aesthetic,jaipur,capital at,symbolize the
24,buddhist belief,of important,qabus is,and presenting,temple architecture,details and,consecrated to,century british,importance,of itsukushima,rule and
25,nutrient,groups of,of pisa,occupied by,bridge and,most characteristic,its related,documenting,april,development over,island and
26,and vast,constructing,of antiquity,species as,known to,rock art,its town,and modern,past millennia,is cultural,the giralda
27,precisely,globally,seas,and buddhist,th century,and national,contributions,they can,approximately,of glaciation,found at
28,vulnerable as,within its,it belongs,kybele sanctuary,architectural design,according to,every year,tserkvas,implementation,aesthetic value,transport routes
29,bwindi,and semi,cultural monuments,people from,lists,to various,and island,mammals including,benefits from,considered an,of wall
30,the albertine,constructions of,in world,worship through,scoured,technologies and,between people,life in,habitats are,is continuing,of chora
31,building,at time,alerce,fontenay,administered,chartres cathedral,and hosts,power and,habitation,developments of,at aachen
32,buttresses,fox,cornwall,action,acadians,environments to,stari,limes,conserving,and monastic,rocky scree
33,by dense,admirably illustrates,is under,animal biodiversity,its major,reached its,descendants,of equal,century is,beaune,kindibo and
34,and educational,its fortifications,of antelope,region the,its prosperity,to civilization,meeting point,instruments,settlement patterns,technical architectural,tajik national
35,the dolomites,east asian,lusophone,area in,eras,eastern tradition,to diverse,planning as,deltas,waqf,the budj
36,of worker,temperate,different times,abbey and,siva,hubei,an extraordinary,of ambohimanga,lowland forests,archaeological park,par excellence
37,types including,exposed,alcazar and,mainly in,the desert,years are,it harbours,by series,bearing witness,agrarian,colombia
38,and warm,er,of christian,engineering,athenian,proportion of,colonization and,century form,ivrea,ranges,bore
39,and ongoing,of international,forms from,gorilla and,and constitutes,towards the,it hosts,worlitz,crops,come together,national
40,topographical features,westwork,by species,tributaries,terraced landscape,has also,species including,veneration,the num,dambulla,refugium
41,reaching,execution of,religion,the domain,of sheep,european colonial,st century,possibilities,castle,in river,the palaces
42,effect,have taken,in italy,cultural practices,the wudang,rocas atoll,the larger,founders,fauna which,as,agricultural systems
43,nabataeans,scarce,ancient beliefs,the biological,abundance and,of landforms,khmer,of other,selected as,much,and survival
44,landforms of,phoenico punic,namely the,level of,kings,is extremely,and high,the conservation,recurrence,with exceptional,sikkim
45,processes that,the pampulha,aldabra,and works,behaviour,established,num bce,ephesus,the greco,pastures,terraces
46,precolumbian,permian,churches in,biologically,scientific importance,greek and,and highly,diversity that,dunes and,social and,the fresco
47,of dijon,crucial evidence,and one,and change,technology which,brought about,exceptional work,mayan civilization,berat,capital and,the elements
48,heavy,atapuerca,its art,environment in,gallery forests,particularity,ongoing ecological,centuries when,parks that,traditions with,white stone
49,saint petersburg,exceptional stone,chartres,occupied,west axis,eastern tropical,domain of,tipasa,the alhambra,brings together,to tropical
